deck	type	front	back	tags	src	key
자격증::공인중개사::공인중개사법	cloze	포상금 지급기한 — 중개사법: {{c1::지급결정일부터 1개월}} / 부동산거래신고법: {{c2::신청서 접수일부터 2개월}}	기산일·기간이 통째로 다름. 내 노트 2개가 정반대로 "혼동 주의"를 달았던 최다 혼동 지점 — 법령 검증 확정	공인중개사 공인중개사법 날짜특집 충돌확정	날짜기간_총정리 충돌#1	날짜-포상금지급기한
자격증::공인중개사::공인중개사법	cloze	공인중개사 자격정지 상한: {{c1::6개월}}의 범위	1년 아님 — 6개월 넘으면 자격취소나 다름없다는 취지 (공인중개사법 36조)	공인중개사 공인중개사법 날짜특집 충돌확정	날짜기간_총정리 충돌#2	날짜-자격정지상한
자격증::공인중개사::민법	cloze	상가임대차 차임·보증금 — 증액: 증액 후 {{c1::1년}} 내 재증액 불가 / 감액: {{c2::제한 없음}}	임차인 보호 취지라 증액만 묶는다 — 감액 1년 제한은 오기	공인중개사 민법 날짜특집 충돌확정	날짜기간_총정리 충돌#3	날짜-상가증감액제한
자격증::공인중개사::부동산공법	cloze	단계별 집행계획 수립: 원칙 — 결정 고시일부터 {{c1::2년}} 이내 / 다른 법률 의제 시 {{c2::3개월}}	원칙·예외 방향을 뒤집는 함정 (국토계획법 85조) — 2년이 원칙	공인중개사 부동산공법 날짜특집 충돌확정	날짜기간_총정리 충돌#4	날짜-단계별집행계획
자격증::공인중개사::부동산공법	cloze	건축 사전결정: {{c1::통지받은 날}}부터 {{c2::2년}} 이내 건축허가 신청 (미신청 시 효력 상실)	신청일 기산 아님 (건축법 10조)	공인중개사 부동산공법 날짜특집 충돌확정	날짜기간_총정리 충돌#5	날짜-사전결정2년
자격증::공인중개사::부동산공법	cloze	매수청구 후 건축 가능한 두 경우: ① 매수하지 않기로 결정 → {{c1::즉시}} ② 매수하기로 알린 날부터 {{c2::2년}} 지나도록 미매수	두 경우가 병렬 — 하나로 합쳐 외우면 틀린다 (국토계획법 47조)	공인중개사 부동산공법 날짜특집 충돌확정	날짜기간_총정리 충돌#6	날짜-매수거부건축
자격증::공인중개사::부동산공법	cloze	도정법 분양통지·공고: 사업시행계획인가 고시일부터 {{c1::120일}} 이내	90일 아님 — 90일은 현금청산 협의기간과 혼동된 것 (도시정비법 72조)	공인중개사 부동산공법 날짜특집 충돌확정	날짜기간_총정리 충돌#7	날짜-분양통지120일
자격증::공인중개사::부동산세법	cloze	국가 등이 취득세 과세물건을 매각: 매각일부터 {{c1::30일}} 이내 지자체장에게 통보·신고	3개월 아님	공인중개사 부동산세법 날짜특집 충돌확정	날짜기간_총정리 충돌#8	날짜-국가매각30일
자격증::공인중개사::부동산세법	cloze	재산세 신고의무(미등기 소유권 변동·상속 미등기·수탁자 등): 과세기준일부터 {{c1::15일}} 이내	⚠ 내 노트 다수가 30일로 오기했던 곳 — 지방세법 120조 원문은 15일. 반복 필기가 정답을 보증하지 않는다	공인중개사 부동산세법 날짜특집 충돌확정	날짜기간_총정리 충돌#9	날짜-재산세신고15일
자격증::공인중개사::부동산세법	cloze	재산세 납기 — 7월분: {{c1::7/16~7/31}} / 9월분: {{c2::9/16~9/30}}	7월은 31일까지 있는 달 — 7/30으로 쓴 노트가 오기	공인중개사 부동산세법 날짜특집 충돌확정	날짜기간_총정리 충돌#10	날짜-재산세납기
