deck	type	front	back	tags	src	key
자격증::공인중개사::민법	cloze	취소의 의사표시 상대방 — 상대방이 그 행위로 취득한 권리를 양도한 경우, 취소의 의사표시는 {{c1::원래의 상대방}}에게 해야 한다	양수인이 아니다. 권리를 지금 갖고 있는 사람이 아니라 그 법률행위를 함께 한 당사자에게 한다	공인중개사 민법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-취소의사표시상대방
자격증::공인중개사::민법	cloze	유치권의 성질 — 유치권은 {{c1::법정}} 담보물권이라 법률에 의해서만 성립하고 {{c2::당사자 약정}}으로는 성립할 수 없다	계약서에 미수금이 남으면 유치권을 인정한다는 특약을 넣어도 그 조항만으로 유치권이 생기지 않는다	공인중개사 민법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-유치권-법정담보물권
자격증::공인중개사::민법	cloze	지역권 — 지역권에는 {{c1::점유}}가 성립하지 않는다. 승역지를 통째로 지배하는 것이 아니라 {{c2::필요한 범위 내에서만 간섭}}하기 때문	지역권 = 내 땅의 편익을 위해 남의 땅을 특정 목적으로만 이용하는 권리	공인중개사 민법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-지역권-점유불성립
자격증::공인중개사::민법	cloze	판결과 등기 — 등기가 필요한 판결은 {{c1::확인판결·이행판결}} / 등기 없이 물권변동이 일어나는 제187조의 판결은 {{c2::형성판결}}	확인판결은 이미 있던 권리를 확인만 하고, 이행판결은 채무자가 실제 이행행위를 해야 실현된다	공인중개사 민법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-판결과등기
자격증::공인중개사::민법	cloze	변제와 채권증서 반환의 관계 — 동시이행관계인가? → {{c1::아니다}}	채권증서는 채무 자체가 아니라 채무의 존재를 증명하는 증거물이라, 반환은 소멸된 채무의 뒤처리 성격의 부수적 의무다. 변제로 채무는 이미 소멸했다	공인중개사 민법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-변제-채권증서반환
자격증::공인중개사::민법	cloze	경매와 담보책임 — 물건의 하자담보책임(제580조)은 경매에 {{c1::적용되지 않는다}} / 권리의 하자담보책임(제570조~제577조)은 경매에 {{c2::적용된다}}(제578조)	권리관계는 전부 공시되어 있어 더 책임을 져야 하고, 물건은 주인이 원해서 팔리는 경우가 적어 담보책임까지 지우기엔 무리다	공인중개사 민법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-경매-담보책임
자격증::공인중개사::공인중개사법	cloze	시험 부정행위자의 응시자격 정지 — 행위를 한 날이 아니라 {{c1::무효처분일}}부터 {{c2::5년}}		공인중개사 공인중개사법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-부정행위자-정지기산점
자격증::공인중개사::공인중개사법	basic	금지행위 두문자 판매명수관직쌍투꾸단+5 중 '명'이 포괄하는 두 행위는?	① 무등록 중개업자인 사실을 알면서 그를 통하여 중개를 의뢰받는 행위<br>② 알면서 그에게 자기의 명의를 이용하게 하는 행위<br>→ 둘 다 무등록 중개업자와 관련된 내용	공인중개사 공인중개사법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-금지행위-명
자격증::공인중개사::공인중개사법	cloze	신고센터의 정기 제출 — 매월 {{c1::10일}}까지 직전 달의 신고사항 접수·처리 결과 등을 {{c2::국토교통부장관}}에게 제출		공인중개사 공인중개사법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-신고센터-정기제출
자격증::공인중개사::공인중개사법	cloze	토지거래허가 이용의무 위반 이행강제금 — {{c1::최초의 이행명령이 있었던 날}}을 기준으로 {{c2::1년에 한 번}}씩, 이행될 때까지 반복 부과		공인중개사 공인중개사법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-이행강제금-기산점
자격증::공인중개사::부동산공법	cloze	토지상환채권의 공급방법 — 추첨의 방법이 아니라 {{c1::수의계약}}	채권 발행 시점에 상대방이 이미 계약으로 특정되어 있기 때문	공인중개사 부동산공법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-토지상환채권-수의계약
자격증::공인중개사::부동산공법	cloze	토지임대부 분양주택 — 토지 임대차기간 {{c1::40년}} 이내 / 거주의무기간 {{c2::5년}} 이내이며 {{c3::최초 입주가능일}}에 바로 입주		공인중개사 부동산공법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-토지임대부-기간
자격증::공인중개사::부동산공법	cloze	토지임대부 분양주택의 건축물 공용부분·복리시설 — {{c1::분양받은 자들이 공유}}한다		공인중개사 부동산공법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-토지임대부-공유
자격증::공인중개사::부동산공법	cloze	농지 위탁경영 사유 — 국외(해외)여행은 {{c1::3개월 이상}}이어야 한다		공인중개사 부동산공법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-농지위탁경영-국외여행
자격증::공인중개사::부동산공시법	cloze	등록사항 직권정정 — {{c1::토지이동정리결의서}}의 내용과 다르게 정리된 경우 직권으로 조사·측량할 수 있다	토지이동현황조사서가 아니다. 현황조사서 = 직권조사일 때만 작성되는 조사 기록 / 정리결의서 = 신청·직권 불문 항상 작성하는 지적공부 반영 결재 문서	공인중개사 부동산공시법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-토지이동정리결의서
자격증::공인중개사::부동산공시법	cloze	지적재조사 기본계획 수립권자 — {{c1::국토교통부장관}}		공인중개사 부동산공시법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-지적재조사-기본계획
자격증::공인중개사::부동산세법	cloze	등록면허세 납세지 — 같은 등록에 관계되는 재산이 둘 이상의 지자체에 걸쳐 지자체별로 부과할 수 없을 때는 {{c1::등록관청 소재지}}		공인중개사 부동산세법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-등록면허세-납세지-둘이상
자격증::공인중개사::부동산세법	cloze	공익사업과 관련된 지상권의 대여로 발생한 소득 — 사업소득이 아니라 {{c1::기타소득}}	원래 임대업으로 사업소득에 들어가는 것이 정상이나 공익사업이라 법이 따로 특혜를 둔 것	공인중개사 부동산세법 강조	2026-08-30-공인중개사-(박문각 8월 모의고사).md	모의0830-공익사업지상권대여-기타소득
자격증::법무사::형법	cloze	상해의 개념 — 상해 = {{c1::생리적 기능의 훼손}}		법무사 형법 2차 강조	2026-08-29-형법-2차-(긴급피난~공범론).md	형법-상해-생리적기능훼손
자격증::법무사::형법	cloze	주거침입죄 판례 변경 — 구판례의 기준은 거주자의 {{c1::추정적 의사}}, 신판례의 기준은 {{c2::사실상 주거의 평온을 해치는 행위태양}}	구판례 기준: 알았다면 허락하지 않았을 것	법무사 형법 2차 강조	2026-08-29-형법-2차-(긴급피난~공범론).md	형법-주거침입-판례변경기준
자격증::법무사::형법	cloze	심신장애의 효과 — 사물변별능력 또는 의사결정능력이 없음(심신상실) → {{c1::책임 조각}} / 미약(심신미약) → {{c2::임의적 감경}}		법무사 형법 2차 강조	2026-08-29-형법-2차-(긴급피난~공범론).md	형법-심신장애-상실미약효과
자격증::법무사::형법	basic	2차 답안 표현 원칙 — 결론을 쓸 때 해당한다보다 나은 표현은?	해당한다고 봄이 상당하다	법무사 형법 2차 강조	2026-08-29-형법-2차-(긴급피난~공범론).md	형법-답안표현-봄이상당하다
자격증::공인중개사::공인중개사법	cloze	상가임대차 — 경제사정의 중대한 변동에 따른 폐업으로 임차인이 해지를 통고한 경우, 임대인이 통고를 받은 날부터 {{c1::3개월}}이 지나야 해지의 효력이 생긴다	함정: 해지 효력 발생을 통고 즉시로 앞당긴 지문이 반복 출제된다	공인중개사 공인중개사법 상습	오답원장(공인중개사법 1 상가임대차)	공인중개사법 1 상가임대차
자격증::공인중개사::민법	cloze	상가임대차 기산점 — 대항력은 사업자등록을 {{c1::신청한 날의 다음 날}}부터 / 권리금 회수 방해 손해배상청구권은 임대차가 {{c2::종료한 날}}부터 3년	임차권등기명령에 따라 임차권등기를 마치면 배당요구 없이도 우선변제된다. 함정: 신청한 날 vs 다음 날, 방해일 vs 종료일	공인중개사 민법 상습	오답원장(민법 11 상가·주택임대차)	민법 11 상가·주택임대차
자격증::공인중개사::민법	cloze	담보책임 제척기간 — 물건의 하자(선의·무과실): 안 날부터 {{c1::6개월}} / 권리의 하자(선의): 안 날부터 {{c2::1년}}	법령상 제한으로 건물 신축이 불가능한 토지는 성상의 흠결이라 물건의 하자다. 물건의 흠은 쓰면서 드러나므로 기간을 짧게 끊어 법률관계를 빨리 확정한다	공인중개사 민법 상습	오답원장(담보책임 제척기간-물건하자 6개월)	담보책임 제척기간-물건하자 6개월
자격증::공인중개사::민법	cloze	주임법 — 나대지에 저당권이 설정된 뒤 신축된 주택의 소액임차인은 대지 환가대금에서 최우선변제를 {{c1::받지 못한다}}	저당권자가 담보로 잡은 것은 건물 없는 땅의 가치이기 때문. 함께: 2기 차임연체 시 묵시적 갱신 부정 / 승계된 양수인의 보증금반환채무는 임차인의 주민등록 이전으로 소멸하지 않는다	공인중개사 민법 상습	오답원장(주임법-2기연체·나대지·채무승계)	주임법-2기연체·나대지·채무승계
자격증::공인중개사::공인중개사법	cloze	100만원 이하 과태료 개별 기준금액 — 등록증·표시광고 계열 {{c1::50만원}} / 자격증 반납 {{c2::30만원}} / 폐업 계열 {{c3::20만원}}	의무의 대외적 파급력 순서로 제재를 계단화한 것. 함정: 등록증 반납과 자격증 반납의 금액을 맞바꿔 외우면 그대로 틀린다	공인중개사 공인중개사법 상습	오답원장(공인중개사법 1-5 과태료 개별금액)	공인중개사법 1-5 과태료 개별금액
자격증::공인중개사::부동산세법	cloze	종합부동산세 과세표준 공제액 — 종합합산토지 {{c1::5억원}} / 별도합산토지 {{c2::80억원}} / 주택 {{c3::9억원}}(1세대1주택 12억원). 공제를 먼저 하고 공정시장가액비율을 곱한다	예) 종합합산 15억 → (15−5)×0.7 = 7억 / 별도합산 100억 → (100−80)×0.7 = 14억. 함정: 공제액을 바꿔 내면 자릿수가 통째로 어긋난다	공인중개사 부동산세법 상습	오답원장(부동산세법 1-4 종부세 과세표준 산정)	부동산세법 1-4 종부세 과세표준 산정
자격증::공인중개사::부동산세법	cloze	신탁재산 재산세 — 수탁자가 변경되면 새로운 수탁자는 납부통지서에 따라 종전 수탁자에게 고지된 납세의무를 {{c1::승계한다}}	신탁재산은 그대로 남고 관리자만 바뀐 것이라 사람 교체로 조세채권이 끊기면 회피 통로가 열린다. 고지 이후의 권리 포기·재산 양도도 확정된 납세의무를 지우지 못한다	공인중개사 부동산세법 상습	오답원장(부동산세법 1-3 신탁재산 납세의무)	부동산세법 1-3 신탁재산 납세의무
자격증::공인중개사::부동산공법	cloze	도시개발구역 분할 — 분할 후 각 사업시행지구는 {{c1::1만제곱미터}} 이상이어야 하므로 최대 개수는 면적을 1만으로 나눈 뒤 {{c2::소수점을 버린}} 값	45,000㎡ → 4개 / 68,000㎡ → 6개. 함정: 반올림해 올리면 한 지구가 기준에 미달한다	공인중개사 부동산공법 상습	오답원장(부동산공법 도시개발구역 분할)	부동산공법 도시개발구역 분할
자격증::법무사::형법	cloze	부진정부작위범 = 작위범 규정 + {{c1::작위의무}}. 발생근거 6개의 두문자는 {{c2::법계조선신사}}이고, 이것이 인정되면 {{c3::보증인지위}}가 선다	6개를 나열만 하고 보증인지위 결론을 빠뜨리면 요건 연결이 끊긴다	법무사 형법 2차 상습	오답원장2차(형법 1-2 작위의무 발생근거)	형법 1-2 작위의무 발생근거 6개(법계조선신사) → 보증인지위
자격증::법무사::형법	cloze	심사 층위 — 정당행위 여부는 {{c1::위법성조각}} 심사에서, 금지착오는 {{c2::책임}} 단계에서 거른다. 착오가 받아들여지려면 {{c3::정당한 이유}}가 있어야 한다	위법성은 행위 자체의 평가, 책임은 행위자에 대한 비난가능성 평가. 단전·단수 사안 — 확인 노력이 없었다면 정당한 이유가 부정되어 착오 주장만으로 면책되지 않는다	법무사 형법 2차 상습	오답원장2차(형법 1-9 위법성 착오)	형법 1-9 위법성 착오는 책임 단계, 정당한 이유 요구
자격증::법무사::형법	cloze	결과범 vs 형식범 판별식 — {{c1::구성요건적 결과의 발생을 요구하는가}}? 요구하면 결과범(예 {{c2::살인죄}}), 요구하지 않고 행위만으로 충족되면 형식범(예 {{c3::폭행죄}})	결과범에서만 결과와 인과관계를 별도로 포섭한다. 형식범에 인과관계 목차를 잡으면 불필요한 논점을 쓴 답안이 된다	법무사 형법 2차 상습	오답원장2차(형법 1-3 결과범과 형식범)	형법 1-3 결과범과 형식범의 판별식
자격증::법무사::형법	cloze	형법 제1조 제2항 적용 판별식 — 형벌규정·위임입법이 바뀌면 {{c1::바로 적용}} / 그 밖의 규정이 바뀌면 {{c2::형사법적 관점의 변화}}가 있어야 적용. 한시법은 {{c3::행위시법}}으로 처벌	처벌 자체에 대한 평가가 달라진 것만 피고인에게 유리하게 반영한다. 함정: 결과적으로 적법해졌다는 이유만으로 제1조 제2항을 꺼내면 결론이 뒤집힌다(법무사법 개정 사례)	법무사 형법 2차 상습	오답원장2차(형법 1-5 제1조 제2항)	형법 1-5 제1조 제2항 적용의 판별식
자격증::법무사::형법	cloze	진정 vs 부진정 결과적 가중범 판별식 — 중한 결과를 {{c1::고의}}로 발생케 한 경우에도 성립하는가?	성립하면 부진정. 예 2개: 특수공무집행방해치상죄 · 현주건조물방화치사죄. 과실일 때만 성립한다고 보면 더 나쁜 고의 사안이 오히려 가벼운 죄가 되는 역전이 생긴다	법무사 형법 2차 상습	오답원장2차(형법 1-6 부진정 결과적 가중범)	형법 1-6 부진정 결과적 가중범의 정의와 예
자격증::법무사::형법	cloze	싸움과 정당방위 — 원칙적으로 부정되며 근거는 {{c1::방위의사}} 결여. 예외 3개는 {{c2::중단}}·{{c3::예상 불가}}·{{c4::외관상 격투}}	주고받는 구도가 깨져 다시 일방적 침해가 된 국면에서는 방위의사를 인정할 여지가 생긴다	법무사 형법 2차 상습	오답원장2차(형법 1-8 싸움과 정당방위)	형법 1-8 싸움에서 정당방위가 인정될 수 있는 경우
자격증::법무사::형법	cloze	구체적 vs 추상적 — 판별식은 {{c1::공공의 위험 발생이 기수 요건인가}}? 침해범과 대비되는 상위 분류는 {{c2::위험범}}	추상적 위험범에 위험 발생을 별도로 포섭하면 요건을 하나 더 만든 셈이 된다	법무사 형법 2차 상습	오답원장2차(형법 1-3 구체적·추상적 위험범)	형법 1-3 구체적 위험범과 추상적 위험범의 판별식
자격증::법무사::형법	cloze	결과적 가중범과 고의범의 죄수 — 결과적 가중범의 형이 더 무거우면 고의범이 {{c1::흡수}} / 고의범이 더 무거우면 {{c2::상상적 경합}}	현주건조물방화치사 사안. 이미 평가된 불법을 또 세면 이중평가다. 함정: 어느 쪽이 무거운지 비교하지 않고 기계적으로 흡수시키는 것	법무사 형법 2차 상습	오답원장2차(형법 1-7 결과적 가중범 죄수)	형법 1-7 부진정 결과적 가중범과 고의범의 죄수
자격증::법무사::형법	cloze	형법 제1조 제2항의 범죄 후 = {{c1::실행행위 종료 후}}. 그래서 포괄일죄가 진행되는 중에 개정되면 어느 시점의 법으로 처벌하는가 → {{c2::종료시법}}	행위가 끝나지 않았다면 그 법은 범죄 후의 법이 아니라 행위시법이다(감금죄). 함정: 진행 중 개정법 가운데 가장 가벼운 형을 골라 적용하면 틀린다	법무사 형법 2차 상습	오답원장2차(형법 1-1 포괄일죄 진행 중 개정)	형법 1-1 포괄일죄 진행 중 개정은 실행행위 종료시법
자격증::법무사::형법	cloze	교사의 양적 초과 — 상해를 교사했는데 정범이 살인을 한 경우 원칙은 {{c1::상해교사범}}, 예견가능성이 있으면 {{c2::상해치사의 교사}}까지	교사자의 고의는 자기가 심은 범위까지만 미치고 그 너머는 과실 영역이라 예견가능성이 다리를 놓는다. 함정: 살인교사로 올려 쓰면 초과분을 고의로 떠넘긴 것	법무사 형법 2차 상습	오답원장2차(형법 1-6 교사의 양적 초과)	형법 1-6 교사의 양적 초과와 예견가능성
자격증::법무사::형법	cloze	주의의무 위반의 두 축 = {{c1::결과예견}} 위반 + {{c2::결과방지}} 위반. 신뢰의 원칙은 {{c3::수직적}} 관계에서는 원용할 수 없다	지시와 감독이 있는 관계에서는 상대가 알아서 하리라는 신뢰 자체가 정당화되지 않는다. 함정: 분업이라는 말만 보고 신뢰의 원칙을 꺼내면 결론이 뒤집힌다	법무사 형법 2차 상습	오답원장2차(형법 1-5 주의의무·신뢰의 원칙)	형법 1-5 주의의무 = 예견+방지, 신뢰의 원칙은 수직관계 배제
자격증::법무사::형법	cloze	계속범 — 기수에 이른 뒤에도 범죄가 계속되므로 기수 이후 가담한 자에게도 {{c1::공범이 성립할 수 있다}}	공범은 정범의 실행행위에 가담해야 성립하는데 계속범은 실행행위가 기수 시점에 끝나지 않는다(감금죄). 함정: 즉시범 감각으로 기수 후 가담은 불가능하다고 쓰면 틀린다	법무사 형법 2차 상습	오답원장2차(형법 1-3 계속범)	형법 1-3 계속범과 기수 후 공범 성립
자격증::법무사::형법	cloze	개괄적 고의 — 살해하려 공격한 뒤 죽은 줄 알고 매장했으나 실제 사인이 질식인 사안은 {{c1::살인죄}} 하나로 평가한다	살해 의사에서 매장까지가 하나의 사건 경과라 인위적으로 자르면 고의를 축소 평가하게 된다. 함정: 살인미수와 과실치사를 병렬로 세우는 것	법무사 형법 2차 상습	오답원장2차(형법 1-4 개괄적 고의)	형법 1-4 개괄적 고의의 처리
자격증::공인중개사::공인중개사법	cloze	토지거래허가 처분 기한 — 허가신청서를 {{c1::받은 날}}부터 {{c2::15일}} 이내	3회 연속 미교정 구멍 — 기산점을 자기 말로 압축하다 어긋난 자리	공인중개사 공인중개사법 백지구멍	백지복습_2026-08-26_제도권리	백지-처분기한기산점
자격증::공인중개사::부동산공법	cloze	주택조합 가입 청약철회 — 효력은 {{c1::발송한 날}}에 발생(발송주의) → {{c2::7일}} 이내 반환요청 → {{c3::10일}} 이내 반환	2회 연속 미인출 구멍 — 1회차에 30일로 오답, 2회차 공란	공인중개사 부동산공법 백지구멍	백지복습_2026-08-25_면적산정~주택조합	백지-주택조합청약철회
자격증::공인중개사::공인중개사법	cloze	재건축 결의 정족수 — 구분소유자의 {{c1::5분의 4}} {{c2::이상}} + 의결권의 {{c3::5분의 4}} {{c4::이상}}	2회 연속 구멍 — 구분소유자는 붙었으나 이상이 누락됐다. 이상 두 글자가 채점 포인트	공인중개사 공인중개사법 백지구멍	백지복습_2026-08-26_물권실무	백지-재건축결의정족수
자격증::공인중개사::공인중개사법	cloze	포상금 관련 비율 대비 — {{c1::10퍼센트}} 과태료 = 위반자가 무는 쪽 / {{c2::20퍼센트}} 포상금 = 신고자가 받는 쪽	2회 연속 구멍 — 20퍼센트만 단독 저장되고 대비 축이 형성되지 않았다	공인중개사 공인중개사법 백지구멍	백지복습_2026-08-26_제도권리	백지-포상금비율대비
