deck	type	front	back	tags	src	key
자격증::공인중개사::부동산세법	cloze	취득세 유상 — 주택: 6억 이하 {{c1::1%}} / 9억 초과 {{c2::3%}} (6~9억은 공식 구간)	두문자: 일단삼. 6~9억 공식 = (취득가액 × 2/3억 − 3) × 1/100	공인중개사 부동산세법 세율특집	2026-05-24 WOX·2026-03-18 세율정리	세율-취득세-유상주택
자격증::공인중개사::부동산세법	cloze	취득세 유상 — 농지 {{c1::3%}} / 그 외 부동산 {{c2::4%}}	두문자: 농지도삼 외사	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-취득세-유상농지그외
자격증::공인중개사::부동산세법	cloze	취득세 상속 — 농지 {{c1::2.3%}} / 농지 외 부동산 {{c2::2.8%}}	두문자: 상속받은 38선을 외팔오	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-취득세-상속
자격증::공인중개사::부동산세법	cloze	취득세 상속 외 무상(증여) — 비영리사업자 {{c1::2.8%}} / 그 외 {{c2::3.5%}}	상속(2.3/2.8)과 증여(2.8/3.5)를 바꿔치기하는 함정 주의	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-취득세-증여
자격증::공인중개사::부동산세법	cloze	취득세 — 원시취득(건축 등) {{c1::2.8%}} / 공유물·합유물·총유물 분할(본인 지분 이내) {{c2::2.3%}}	두문자: 원시팔을 분할해서 삼. 증여 3.5%와 혼동 주의	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-취득세-원시분할
자격증::공인중개사::부동산세법	cloze	미등기 전매 시 취득세 {{c1::80%}} 세율 — {{c2::지목변경}}은 중과 사유에서 제외	신고 없이 매각한 경우	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-취득세-미등기전매
자격증::공인중개사::부동산세법	cloze	등록면허세 — 소유권 보존등기 {{c1::1천분의 8(0.8%)}} / 유상 이전 주택 {{c2::취득세율 × 50%}} / 유상 이전 주택 외 {{c3::1천분의 20(2%)}}	과세표준은 부동산가액	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-등록면허세-보존유상
자격증::공인중개사::부동산세법	cloze	등록면허세 무상 이전 — 상속 {{c1::1천분의 8(0.8%)}} / 상속 외(증여 등) {{c2::1천분의 15(1.5%)}}	보존등기와 상속이전이 같은 0.8%	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-등록면허세-무상
자격증::공인중개사::부동산세법	cloze	등록면허세 — 가등기·저당권·전세권·임차권 등 {{c1::1천분의 2(0.2%)}} / 말소등기 등 {{c2::건당 6천원}}	노트 대조: 3-18 세율정리 기준(말소=정액 6천원)	공인중개사 부동산세법 세율특집	2026-03-18 세율정리	세율-등록면허세-기타
자격증::공인중개사::부동산세법	cloze	재산세 토지 저율분리 — 농지(전·답·과수원)·목장용지·임야 {{c1::1천분의 0.7(0.07%)}}	두문자: 농지 행운을 0.7	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-재산세-저율분리농지
자격증::공인중개사::부동산세법	cloze	재산세 토지 — 공장용지 등 저율분리 {{c1::1천분의 2(0.2%)}} / 회원제 골프장·고급오락장용 토지 {{c2::1천분의 40(4%)}}	두문자: 공장 2차생산 / 사치성 죽을4(40)	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-재산세-공장골프
자격증::공인중개사::부동산세법	cloze	재산세 토지 — 종합합산 {{c1::1천분의 2~5(0.2~0.5%)}} / 별도합산 {{c2::1천분의 2~4(0.2~0.4%)}}	두문자: 종이오(2~5) 별이사(2~4)	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-재산세-합산토지
자격증::공인중개사::부동산세법	cloze	재산세 건축물 — 골프장·고급오락장용 {{c1::1천분의 40(4%)}} / 시(읍·면 제외) 주거지역 등 공장용 {{c2::1천분의 5(0.5%)}} / 그 밖의 건축물 {{c3::1천분의 2.5(0.25%)}}	토지 골프장 4%와 같은 숫자	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-재산세-건축물
자격증::공인중개사::부동산세법	cloze	재산세 주택 — 9억 이하 + 1세대 1주택 {{c1::1천분의 0.5~3.5(0.05~0.35%)}} / 그 외 주택 {{c2::1천분의 1~4(0.1~0.4%)}}	두문자: 주택은 일단 사고봐(1~4)	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-재산세-주택
자격증::공인중개사::부동산세법	cloze	재산세 — 고급선박 {{c1::1천분의 50(5%)}} / 그 밖의 선박·항공기 {{c2::1천분의 3(0.3%)}}	두문자: 선주 성은 오씨(50)	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-재산세-선박항공
자격증::공인중개사::부동산세법	cloze	종부세 주택(개인) — 2주택 이하 {{c1::1천분의 5~27}} / 3주택 이상 {{c2::1천분의 5~50}} (7단계 초과누진)	두문자: 오이칠(527) 오오(550)	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-종부세-개인주택
자격증::공인중개사::부동산세법	cloze	종부세 주택(법인) — 2주택 이하 {{c1::1천분의 27}} / 3주택 이상 {{c2::1천분의 50}} ({{c3::단일 비례}}세율)	법인은 최고세율 비례세 — 누진 아님	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-종부세-법인주택
자격증::공인중개사::부동산세법	cloze	종부세 토지 — 종합합산 {{c1::1천분의 10~30(1~3%)}} / 별도합산 {{c2::1천분의 5~7(0.5~0.7%)}} (3단계 초과누진)	두문자: 하루 종일 삼(13), 별도로 옻칠(57)	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-종부세-토지
자격증::공인중개사::부동산세법	cloze	양도세 — 미등기양도자산 {{c1::70%}} / 주택·조합원입주권 1년 미만 {{c2::70%}} / 1~2년 {{c3::60%}}	주택·입주권 2년 이상은 기본누진(6~45%)	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-양도세-주택단기
자격증::공인중개사::부동산세법	cloze	양도세 그 외 자산 — 1년 미만 {{c1::50%}} / 1~2년 {{c2::40%}} / 2년 이상 {{c3::6~45% 초과누진}}	주택(70/60)보다 한 단계 낮은 50/40	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-양도세-그외자산
자격증::공인중개사::부동산세법	cloze	양도세 기본누진세율 — {{c1::8}}단계 6~45%, 1단계: 과세표준 {{c2::1,400만원}} 이하 6%	국외자산 양도에도 이 누진세율은 무조건 적용	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-양도세-기본누진
자격증::공인중개사::부동산세법	basic	재산세 토지 4개 과세유형의 이미지(한 단어씩)는?	저율분리 = 생산 / 고율분리 = 사치 / 종합합산 = 투기 / 별도합산 = 사업	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-과세구분-4유형
자격증::공인중개사::부동산세법	cloze	저율분리과세 농지의 위치 요건(영농 전제): {{c1::군·읍면 / 도시지역 밖 / 개발제한구역 / 녹지지역}}	두문자: 읍면밖개녹. 영농하지 않는 농지는 종합합산	공인중개사 부동산세법 세율특집	2026-05-24 WOX·2026-03-18 세율정리	세율-과세구분-농지위치
자격증::공인중개사::부동산세법	cloze	저율분리과세 공장용지의 위치 요건: {{c1::군·읍면 / 산업단지 / 공업지역}} — 그 외 지역 공장용지는 {{c2::별도합산}}	위치가 맞으면 저율분리, 아니면 사업용이라 별도합산	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-과세구분-공장위치
자격증::공인중개사::부동산세법	cloze	허가·사용승인 없는 주거용 건물 — 주택 아님 → 건축물+토지 각각 과세, 부속토지는 {{c1::종합합산}}과세	나대지도 종합합산(투기 바구니)	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-과세구분-무허가주택
자격증::공인중개사::부동산세법	cloze	종부세 주택 공제금액 — 개인 일반 {{c1::9억}} / 1세대 1주택(단독소유·거주자) {{c2::12억}} / 법인 {{c3::0원}}	공정시장가액비율은 모두 60%, 법인은 세부담 상한 없음	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-종부세-주택공제
자격증::공인중개사::부동산세법	cloze	종부세 토지 공제금액 — 종합합산 {{c1::5억}} 초과분 / 별도합산 {{c2::80억}} 초과분 — {{c3::건축물}}은 종부세 과세대상 아님	토지 공정시장가액비율은 100%	공인중개사 부동산세법 세율특집	2026-05-24 WOX	세율-종부세-토지공제
