deck	type	front	back	tags	src	key
자격증::공인중개사::부동산공법	cloze	자연취락지구 안 건축물의 건폐율 최대한도: {{c1::60퍼센트}} 이하	혼동 주의 — 농공단지 70%·공업지역 안 산업단지 80%와 숫자 스왑 함정	공인중개사 부동산공법 상습	오답원장(부동산공법 1-5)	부동산공법 1-5
자격증::공인중개사::부동산공법	cloze	도시개발조합 설립인가 동의요건: 토지면적 {{c1::3분의 2}} 이상 + 토지소유자 총수 {{c2::2분의 1}} 이상	땅이 사람보다 무겁다. 재개발조합(사람 4분의 3)과 혼동 주의	공인중개사 부동산공법 상습	오답원장(부동산공법 도시개발조합 동의요건)	부동산공법 도시개발조합 동의요건
자격증::공인중개사::부동산공법	cloze	개발행위허가 제한: 원칙 {{c1::3년}} + 1회 {{c2::2년}} 연장, 연장 시 도시계획위원회 심의 {{c3::불요}}	연장 가능 지역: 관리계획 수립 중·지구단위계획구역·기반시설부담구역 (개발밀도관리구역은 아님 — 이름 바꿔치기 함정)	공인중개사 부동산공법 상습	오답원장(부동산공법 개발행위허가 제한)	부동산공법 개발행위허가 제한
자격증::공인중개사::부동산공법	cloze	공간재구조화계획(도시혁신구역·복합용도구역) 결정권자: {{c1::국토교통부장관}} + 시·도지사 — 대도시 시장 {{c2::제외}}	기억 고리: 대도시시장 OUT, 국장 IN (일반 도시·군관리계획은 시·도지사+대도시 시장)	공인중개사 부동산공법 상습	오답원장(부동산공법 공간재구조화계획)	부동산공법 공간재구조화계획
자격증::공인중개사::부동산공법	cloze	노대(발코니) 바닥면적 산입 = 노대 면적 − (접한 가장 긴 외벽 길이 × {{c1::1.5m}})	예: 8m×2.5m 노대 = 20 − (8×1.5)=12 → 8제곱미터만 산입	공인중개사 부동산공법 상습	오답원장(모의고사 2차 2-10)	모의고사 2차 2-10
자격증::공인중개사::민법	cloze	본인의 파산 → 위임 종료 → 임의대리권 {{c1::소멸}} — 제127조가 아니라 {{c2::제128조}}(원인관계 종료)를 거치는 2단 경로	제127조에 없다고 소멸 안 한다고 외우면 틀리는 지점	공인중개사 민법 상습	오답원장(민법 1-4 대리권 소멸)	민법 1-4 대리권 소멸
자격증::공인중개사::민법	basic	지번을 착오한 토지매매 — 계약·등기·착오취소는 각각?	계약 유효(A토지 합의 존재) / B토지 등기는 무효(물권적 합의 없음) / 착오취소 불가(계약 내용이 아니라 등기 서류 작성의 착오)	공인중개사 민법 상습	오답원장(민법 1-4)	민법 1-4
자격증::공인중개사::민법	cloze	본권 소송에서 <b>패소한</b> 점유자 — 선의→악의 전환: {{c1::소 제기 시}}(소급) / 자주→타주 전환: {{c2::패소판결 확정 시}}	패소가 전제, 시점만 다르다: 악의 간주는 소 제기 시로 소급(지식의 문제), 타주 전환은 확정 시(의사의 문제)	공인중개사 민법 상습	오답원장(민법 1-1)	민법 1-1
자격증::공인중개사::부동산공시법	basic	학교용지 안의 작은 화단 부지 — 지목은?	학교용지 — 학교·공장·종교용지 안의 토지는 독립 기능 단위 전체를 그 용도로 보고, 별도의 '대'로 쪼개지 않는다	공인중개사 부동산공시법 상습	오답원장(부동산공시법 1-3)	부동산공시법 1-3
자격증::공인중개사::부동산공시법	cloze	물을 상시 이용하지 않고 관상수를 재배하는 토지의 지목: {{c1::전}}	답(畓)은 물을 상시 이용하는 경우	공인중개사 부동산공시법 상습	오답원장(부동산공시법 1-3)	부동산공시법 1-3-관상수
